Detector Type,Descriptor Type,Detector Time,Preceding Vehicle Keypoints,Descriptor Time,# Keypoints
ORB,ORB,0.045365,297,0.001338,187
AKAZE,ORB,0.050107,297,0.001373,187
FAST,ORB,0.044828,297,0.001426,187
BRISK,ORB,0.043846,297,0.001546,187
SIFT,ORB,0.060392,297,0.001733,187
BRISK,BRIEF,0.038862,297,0.001062,179
FAST,BRIEF,0.050087,297,0.001142,179
SIFT,BRIEF,0.050615,297,0.001146,179
AKAZE,BRIEF,0.046005,297,0.001409,179
ORB,BRIEF,0.044822,297,0.001455,179
ORB,BRISK,0.056665,297,0.002945,173
FAST,BRISK,0.045981,297,0.003088,173
AKAZE,BRISK,0.048585,297,0.003092,173
SIFT,BRISK,0.051178,297,0.004272,173
BRISK,BRISK,0.039727,297,0.004852,173
FAST,FREAK,0.046672,297,0.030146,170
BRISK,FREAK,0.038588,297,0.030819,170
ORB,FREAK,0.046216,297,0.031686,170
SIFT,FREAK,0.046556,297,0.032068,170
AKAZE,FREAK,0.048611,297,0.032284,170
SIFT,BRIEF,0.047883,289,0.001004,195
AKAZE,BRIEF,0.044502,289,0.001049,195
ORB,BRIEF,0.045366,289,0.001108,195
FAST,BRIEF,0.045235,289,0.001181,195
BRISK,BRIEF,0.040572,289,0.001433,195
AKAZE,ORB,0.045784,289,0.001289,185
FAST,ORB,0.047108,289,0.001418,185
SIFT,ORB,0.047755,289,0.001543,185
ORB,ORB,0.053416,289,0.001546,185
BRISK,ORB,0.040764,289,0.001649,185
ORB,FREAK,0.043983,289,0.031251,172
FAST,FREAK,0.045993,289,0.032787,172
BRISK,FREAK,0.038941,289,0.032981,172
SIFT,FREAK,0.049809,289,0.033136,172
AKAZE,FREAK,0.049885,289,0.033184,172
AKAZE,BRISK,0.048093,289,0.002856,162
ORB,BRISK,0.045685,289,0.003147,162
FAST,BRISK,0.045473,289,0.003164,162
SIFT,BRISK,0.047007,289,0.004055,162
BRISK,BRISK,0.043923,289,0.004469,162
AKAZE,BRIEF,0.045973,282,0.001036,205
ORB,BRIEF,0.046164,282,0.00111,205
BRISK,BRIEF,0.038994,282,0.001195,205
SIFT,BRIEF,0.046603,282,0.001583,205
FAST,BRIEF,0.059365,282,0.002195,205
ORB,ORB,0.045616,282,0.00133,199
FAST,ORB,0.045475,282,0.001367,199
SIFT,ORB,0.048123,282,0.001408,199
AKAZE,ORB,0.050387,282,0.001968,199
BRISK,ORB,0.055674,282,0.002052,199
